material_id,formula,band_gap_eV,e_above_hull_eV,n_atoms,volume_A3,atomic_density,mean_mass_amu,max_mass_amu,min_mass_amu,std_mass_amu,mean_eneg,std_eneg,n_elements,emt_energy_per_atom
mp-11107,Ac2O3,3.5219,0.0,5,91.5112,0.054638,100.4105,227.0277,15.999,103.3826,2.504,1.1464,2,
mp-32800,Ac2S3,2.2729,0.0,40,1118.4079,0.035765,110.0471,227.0277,32.06,95.5143,1.988,0.725,2,
mp-977351,Ac2S3,3.0275,0.0527,10,328.4649,0.030445,110.0471,227.0277,32.06,95.5143,1.988,0.725,2,
mp-867311,AcAgTe2,0.0748,0.2533,4,122.5184,0.032648,147.524,227.0277,107.8682,46.603,1.8075,0.4143,3,
mp-1183115,AcAlO3,4.1024,0.0,5,57.4514,0.08703,60.4013,227.0277,15.999,83.4218,2.606,1.0341,3,
mp-27972,AcBr3,4.1034,0.0,8,272.9289,0.029312,116.6849,227.0277,79.904,63.7065,2.495,0.8054,2,
mp-30274,AcBrO,4.2407,0.0,6,140.1394,0.042815,107.6436,227.0277,15.999,88.3568,2.5,1.0092,3,
mp-27971,AcCl3,5.0865,0.0,8,234.3371,0.034139,83.3444,227.0277,35.45,82.9556,2.645,0.892,2,
mp-30273,AcClO,4.4457,0.0017,6,129.2132,0.046435,92.8256,227.0277,15.999,95.2269,2.5667,1.0434,3,
mp-866101,AcCrO3,2.0031,0.0,5,61.3628,0.081483,65.4042,227.0277,15.999,82.0056,2.616,1.0246,3,
mp-977360,AcF3,7.4101,0.0047,4,53.6631,0.074539,71.0057,227.0277,18.9984,90.0793,3.26,1.2471,2,
mp-985278,AcF3,6.0693,0.0,4,53.6272,0.074589,71.0057,227.0277,18.9984,90.0793,3.26,1.2471,2,
mp-861502,AcFeO3,1.0084,0.0,5,61.7973,0.08091,66.174,227.0277,15.999,81.8941,2.65,0.9947,3,
mp-1183053,AcGaO3,2.8959,0.0,5,61.4551,0.08136,68.9496,227.0277,15.999,81.732,2.646,0.998,3,
mp-861884,AcGaTe2,0.4914,0.2371,4,127.623,0.031342,137.9877,227.0277,69.723,56.5774,1.7775,0.4087,3,
mp-861605,AcH3,0.6407,0.0,4,49.0657,0.081523,57.5129,227.0277,1.008,97.8694,1.925,0.4763,2,
mp-861867,AcI3,2.5886,0.0,8,465.6364,0.017181,151.9353,227.0277,126.9045,43.3547,2.27,0.6755,2,
mp-861460,AcInTe2,0.3799,0.1481,4,133.1005,0.030052,149.2614,227.0277,114.818,45.2006,1.77,0.4083,3,
mp-1184231,AcMg149,0.2168,0.0114,150,3493.9534,0.042931,25.6565,227.0277,24.305,16.497,1.3086,0.0171,2,
mp-866056,AcN,0.0615,0.0,4,99.8802,0.040048,120.5174,227.0277,14.007,106.5104,2.07,0.97,2,
mp-36526,AcOF,4.2561,0.0,3,52.5936,0.057041,87.3417,227.0277,15.999,98.7805,2.84,1.25,3,
mp-1183152,AcScO3,3.3847,0.0241,5,70.1918,0.071233,63.9961,227.0277,15.999,82.2837,2.556,1.0858,3,
mp-865028,AcTlTe2,0.6217,0.0,4,135.2331,0.029579,171.6519,227.0277,127.6,44.7737,1.73,0.4132,3,
mp-18125,Ag(AuF4)2,0.2585,0.0,22,312.7943,0.070334,59.4353,196.9666,18.9984,69.5809,3.5318,0.7471,3,
mp-567334,Ag(BCl)6,2.6955,0.0,104,1920.5218,0.054152,29.6483,107.8682,10.81,25.4945,2.5485,0.5669,3,
mp-600237,Ag(CO)2,0.7095,0.437,40,543.9157,0.073541,32.7776,107.8682,12.011,37.5876,2.782,0.583,3,0.33442
mp-654937,Ag(CO)2,1.0608,0.4179,40,559.3676,0.071509,32.7776,107.8682,12.011,37.5876,2.782,0.583,3,0.331572
mp-1105028,Ag(MoSe)3,0.2695,0.1202,14,278.535,0.050263,90.3759,107.8682,78.971,10.6194,2.2943,0.2339,3,
mp-568386,Ag10Te4Br3,0.774,0.1009,68,1740.5255,0.039069,107.5761,127.6,79.904,15.1501,2.1518,0.3806,3,
mp-568392,Ag10Te4Br3,0.7276,0.0988,68,1688.337,0.040276,107.5761,127.6,79.904,15.1501,2.1518,0.3806,3,
mp-1229222,Ag10Te4BrCl,0.2208,0.1284,64,1551.5782,0.041248,106.5273,127.6,35.45,21.7299,2.1137,0.3665,4,
mp-1195193,Ag12Sn7H16(Se11N2)2,0.2223,0.1215,122,2674.3062,0.045619,64.5067,118.71,1.008,44.803,2.3007,0.3182,5,
mp-1199256,Ag13As3(IO3)4,0.3368,0.054,64,1221.3873,0.052399,72.708,126.9045,15.999,45.561,2.6109,0.6811,4,
mp-560328,Ag15P4S16Cl3,1.2258,0.0,76,1709.5913,0.044455,62.1376,107.8682,30.9738,36.9442,2.3282,0.382,4,
mp-1229151,Ag15S5I4Br,0.5666,0.1259,25,601.1558,0.041587,94.6338,126.9045,32.06,32.6112,2.218,0.3595,4,
mp-1245378,Ag15W7N19,0.9837,0.3592,82,1476.4288,0.055539,77.3423,183.84,14.007,64.3136,2.5178,0.507,3,
mp-1215118,Ag16HgAs4S15,1.1099,0.0059,144,3227.9681,0.04461,75.1964,200.592,32.06,41.0673,2.2306,0.3046,4,
mp-1205258,Ag2(MoO4)3,0.9809,0.3507,68,998.0258,0.068135,40.9161,107.8682,15.999,38.7311,3.0365,0.6281,3,
mp-28729,Ag25(BiO6)3,0.0509,0.0035,46,765.9933,0.060053,78.5137,208.9804,15.999,55.7464,2.5267,0.7326,3,
mp-1197575,Ag2AsS2,0.538,0.003,40,881.7206,0.045366,70.9556,107.8682,32.06,33.9604,2.24,0.2922,3,
mp-554873,Ag2B8O13,3.2651,0.0,92,996.2222,0.092349,22.1828,107.8682,10.81,26.5525,2.8217,0.7055,3,
mp-759792,Ag2B8O13,2.869,0.0115,92,999.2746,0.092067,22.1828,107.8682,10.81,26.5525,2.8217,0.7055,3,
mp-1247866,Ag2B8O13,2.9324,0.0074,92,1035.4718,0.088848,22.1828,107.8682,10.81,26.5525,2.8217,0.7055,3,
mp-559071,Ag2Bi2S3Cl2,1.6368,0.005,36,902.3886,0.039894,88.9752,208.9804,32.06,70.6826,2.44,0.4677,4,
mp-1229130,Ag2Bi2SeS3,0.2197,0.1181,8,188.96,0.042337,101.106,208.9804,32.06,69.0627,2.2737,0.3006,4,
mp-23558,Ag2BiO3,0.3872,0.0,24,366.5718,0.065471,78.7856,208.9804,15.999,71.261,2.7,0.7406,3,
mp-561113,Ag2BiO3,0.4912,0.0012,24,380.9819,0.062995,78.7856,208.9804,15.999,71.261,2.7,0.7406,3,
mp-556345,Ag2BrNO3,1.6045,0.0959,28,472.2407,0.059292,51.0921,107.8682,14.007,41.9984,2.8829,0.6299,4,
mp-574486,Ag2CN2,1.0037,0.268,20,298.7649,0.066942,51.1523,107.8682,12.011,46.3141,2.498,0.4971,3,0.272327
mp-4691,Ag2CO3,0.4736,0.0,12,150.0414,0.079978,45.9574,107.8682,12.011,43.8002,2.7883,0.6837,3,0.301822
mp-560717,Ag2CO3,0.749,0.0268,36,453.5404,0.079376,45.9574,107.8682,12.011,43.8002,2.7883,0.6837,3,0.336086
mp-676581,Ag2CO3,0.5938,0.0297,36,505.7683,0.071179,45.9574,107.8682,12.011,43.8002,2.7883,0.6837,3,0.3824
mp-1178578,Ag2CO3,0.45,0.0275,36,495.6999,0.072625,45.9574,107.8682,12.011,43.8002,2.7883,0.6837,3,0.366078
mp-1196546,Ag2Ge(S2O7)3,2.8072,0.0,180,2544.8377,0.070731,27.2235,107.8682,15.999,24.396,3.1197,0.5152,4,
mp-554988,Ag2Ge2O5,0.7502,0.0576,108,1437.4692,0.075132,48.999,107.8682,15.999,38.7198,2.7867,0.7309,3,
mp-983589,Ag2GeO3,0.2116,0.0361,24,343.4582,0.069878,56.0606,107.8682,15.999,41.748,2.6983,0.7421,3,
mp-861942,Ag2GePbS4,1.3699,0.0,16,364.7255,0.043869,77.9758,207.2,32.06,58.0384,2.315,0.2895,4,
mp-9900,Ag2GeS3,0.4646,0.0,12,267.88,0.044796,64.0911,107.8682,32.06,34.1168,2.2683,0.3128,3,
mp-1096802,Ag2GeSe3,0.067,0.001,12,309.1608,0.038815,87.5466,107.8682,72.63,14.5434,2.2533,0.2979,3,
mp-1202797,Ag2H12C3S3(BrN3)2,2.7767,0.0364,56,806.8357,0.069407,21.5677,107.8682,1.008,31.4651,2.4932,0.3745,6,
mp-567645,Ag2H12C6N3Cl,3.4853,0.2697,96,1119.1852,0.085777,15.7237,107.8682,1.008,28.9112,2.41,0.3453,5,
mp-723002,Ag2H12S(NO)4,2.9412,0.0789,46,475.1728,0.096807,16.5181,107.8682,1.008,29.3734,2.5548,0.5262,5,
mp-778019,Ag2H16O9,2.2358,0.077,108,973.5198,0.110938,13.9206,107.8682,1.008,27.4597,2.5933,0.6027,3,0.82669
mp-1196868,Ag2H2C2N6O13,1.8311,0.408,100,1262.7414,0.079193,21.3521,107.8682,1.008,25.8214,3.0528,0.5072,5,0.333619
mp-690687,Ag2H2IOF,1.4591,0.0405,14,249.9645,0.056008,54.2363,126.9045,1.008,52.6494,2.62,0.7396,5,
mp-555477,Ag2H3IO6,0.7078,0.0633,12,130.6598,0.091842,36.8049,126.9045,1.008,45.3316,2.8133,0.6499,4,
mp-860963,Ag2H4(SO4)3,2.8882,0.0,84,1057.2733,0.07945,24.1874,107.8682,1.008,28.5729,2.9371,0.6023,4,
mp-1202149,Ag2H6PdS2(NO3)2,1.895,0.1446,38,441.5752,0.086056,27.1754,107.8682,1.008,35.9494,2.6916,0.584,6,
mp-1215002,Ag2H8C2S2N5ClO3,2.4229,0.2526,46,600.0726,0.076657,20.2358,107.8682,1.008,28.9007,2.6261,0.492,7,
mp-558763,Ag2Hg(SeO3)2,1.8132,0.0126,88,1389.8547,0.063316,60.9331,200.592,15.999,57.742,2.8727,0.6521,4,
mp-553949,Ag2Hg2(TeO4)3,0.1364,0.0,38,527.32,0.072063,62.7215,200.592,15.999,65.2592,2.9179,0.685,4,
mp-1229184,Ag2Hg3P4Br3,0.8896,0.0117,24,597.0287,0.040199,98.4266,200.592,30.9738,65.0131,2.2917,0.3977,4,
mp-23592,Ag2Hg7(As2I3)2,0.6404,0.0012,76,2505.3795,0.030335,141.1049,200.592,74.9216,49.0495,2.2389,0.2963,4,
mp-571425,Ag2Hg7(P4Br3)2,0.7602,0.0115,23,591.2188,0.038903,102.0476,200.592,30.9738,69.5947,2.3104,0.3963,4,
mp-672339,Ag2Hg7(P4I3)2,0.7079,0.0125,23,628.1415,0.036616,114.3086,200.592,30.9738,68.7485,2.2322,0.2697,4,
mp-1229141,Ag2HgGeS4,0.4441,0.0,16,384.2993,0.041634,77.1498,200.592,32.06,56.2117,2.2737,0.3074,4,
mp-23485,Ag2HgI4,1.2219,0.0,7,266.7371,0.026243,131.9923,200.592,107.8682,29.2121,2.3571,0.3504,3,
mp-37163,Ag2HgI4,0.0872,0.125,7,1217.5103,0.005749,131.9923,200.592,107.8682,29.2121,2.3571,0.3504,3,
mp-570256,Ag2HgI4,1.1004,0.0024,7,267.877,0.026131,131.9923,200.592,107.8682,29.2121,2.3571,0.3504,3,
mp-1229122,Ag2HgI4,1.2764,0.0011,7,266.982,0.026219,131.9923,200.592,107.8682,29.2121,2.3571,0.3504,3,
mp-29816,Ag2HgO2,0.4103,0.0,20,325.176,0.061505,89.6653,200.592,15.999,69.023,2.548,0.7288,3,
mp-9635,Ag2HgS2,0.4191,0.0405,10,214.4696,0.046627,96.0897,200.592,32.06,62.2861,2.204,0.3081,3,
mp-556866,Ag2HgSI2,1.2278,0.0,12,397.0014,0.030227,117.0329,200.592,32.06,49.2703,2.2933,0.3418,4,
mp-557396,Ag2INO3,1.4839,0.0557,56,1025.3879,0.054613,57.8064,126.9045,14.007,49.2064,2.84,0.6334,4,
mp-1203404,Ag2Mo(I2O7)2,1.9611,0.0098,42,652.758,0.064342,49.6805,126.9045,15.999,48.1312,3.0867,0.535,4,
mp-27966,Ag2Mo2O7,1.9053,0.0,22,291.2231,0.075543,47.239,107.8682,15.999,41.4826,2.9327,0.6746,3,
mp-560276,Ag2Mo2O7,1.8834,0.0009,44,629.541,0.069892,47.239,107.8682,15.999,41.4826,2.9327,0.6746,3,
mp-556429,Ag2Mo3SeO12,1.5159,0.0087,72,1071.9266,0.067169,43.0303,107.8682,15.999,38.6361,3.0094,0.6205,4,
mp-19318,Ag2MoO4,1.8731,0.001,14,200.1924,0.069933,53.6689,107.8682,15.999,43.6527,2.8257,0.7129,3,
